一,one,yī,,
相,one another,"xiāng<br><br>Looking so closely because I like it (xiang). I realize we are one in the same<br><br>相 depicts an eye 目 closely observing a tree 木, indicating the original meaning “to observe, to see.” ",,
本,notebook,běn,,
案,case,"àn<br><br>Case closed about the wife murdering the husband in the house<br><br>案 àn is composed of 安 ān and 木 “tree,” which points to the original meaning “a piece of furniture made of wood.” 安 gives the sound.<br><br>piece of wood furniture => desk => file => police case",,
未,not yet,wèi,,
末,last,mò<br><br>longer on top (<b>mo</b>re) or last one no <b>mo</b>,,
沫,foam,"""mò<br><br>Like the foam from duff beer at mo's<br><br>沫 mò is composed of 末 mò and 氵 """"water; liquid; actions involving liquids (like pouring, flowing, swimming, etc.),"""" pointing to the original meaning """"bubble."""" 末 gives the sound.""",,
味,flavor,"wèi<br><br>This flavor is way better. Has it kicked in yet? Not yet! <br><br>味 wèi is composed of 口, here acting as a distinguishing mark, and 未 wèi “the smell of lush tree leaves in spring,” which points to the original meaning “taste (sweet, sour, salty, bitter, spicy).” 未 also gives the sound.",,
妹,younger sister,mèi,,
查,investigate,"chá<br><br>They say this tea (cha) is made from brewing a tree's pine needles during the sunrise. I have to investigate the truth of this<br><br>查 chá was originally composed of 且 qiě and 木 “tree, wood,” which hints at the original meaning “wooden raft.” 旦 is a corruption of 且 qiě, which gave the sound, though the sound connection is not obvious in Mandarin.",,
渣,"sediment<br><br>After investigating the the water/tea, I could see sediment",zhā,,
染,dye/contaminate,"rǎn<br><br>I was sitting on top of a tee (as one does) and it started to <b>rain</b> (ran) I have no mwhere to <b>run</b> the dye in my hair is going to leak (or <b>run</b> down my face) <br><br>Or, I washed 9 times and the tre sap won't come out.. It's permanently dyed in<br><br>染 is composed of 杂 and water (氵), which indicates the original meaning “to dye cloth or silks.”",,
李,plum,"lǐ<br><br>The offspring of a tree is the plum fruit<br><br>李 lǐ originally meant a type of fruit. It was composed of 來 lái, which gave the sound and 子 “offspring,” which hinted at the meaning. Later, 來 was reinterpreted as 木 “tree” via the process of analogy. ",,
桌,table,"zhuō<br><br>桌 zhuō is composed of 卓 zhuō and 木 “a tree; wood,” pointing to the original meaning “table; desk.” 卓 gives the sound. Note that 十, the bottom part of 卓, is shared with 木.",,
若,as if,"ruò<br><br>Putting grass on his right hand makes it look <b>as if</b> it's a person with deshevled hair <u>roa</u>ring<br><br>若 depicts a person with disheveled hair kneeling down with their hands raised up in submission, indicating the original meaning “to submit to.” ",,
草,grass,"cǎo<br><br>You know the radical. This is the full thing. Same sound<br><br>草 cǎo is composed of 早 zǎo and 艹 (vegetation), indicating the original meaning “newly sprouted vegetation.” 早 gives the sound.",,
苦,"suffering, bitter","kǔ<br><br>Even though the bottom is the sound component, and it's not 舌, it looks like a tongue tasting grass which would be bitter<br><br>Or<br><br>It looks like flowers above a grave, the person who played them there was probably suffering a bitter loss<br><br>苦 kǔ is composed of 古 gǔ and 艹 “vegetation,” which points to the original meaning “a type of plant with a bitter taste; Common sow thistle.” 古 gives the sound.",,
宽,wide,"kuān<br><br>Looks like a person wearing a <b>wide</b> Mexican hat<br><br>宽 kuān is composed of 苋 huán (also xiàn) and 宀 “house, building,” pointing to the original meaning “spacious buildings.” 苋 gives the sound. 苋 replaces 萈 in Simplified Chinese from generalizing the simplification of 見 to 见 via regularization of cursive (see the diagram below) and omitting the dot.",,
叶,leaf,"yè<br><br>Leaves work together to sustain a tree<br><br>叶 yè is composed of 十 shí “ten” (here, expressing “a group of people”) and 口 “mouth,” together they indicate the original meaning “to work together (to plow the fields).” 十 also gives the sound. The meaning “leaf; foliage” is via sound loan.",,
莫,nobody,"mò<br><br>Person (named mò?) hiding under grass to pretend that there's no one there  <br><br>莫 depicts the sun (日) as it’s going down and at a position in the sky where it can be seen through the grass in the field (艹 on top, and the grass on the bottom is now writen 大), indicating the original meaning “the sun setting (in the west).”",,
模,imitate,"mó<br><br>Same person mò is trying to hide amongst the trees, imitating them<br><br>模 mó is composed of 莫 mò and 木 “wood, tree,” hinting at the original meaning “a wooden mold for producing tools and implements.” 莫 gives the sound.",,
漠,desert,"""mò<br><br>The right half means no one, the left is water, desert is kind of like """"water for no one"""" <br><br>漠 mò is composed of 莫 mò and 氵 “water; liquid.” It was used in early texts as “desert.” 莫 gives the sound""",,
墓,grave,"mù<br><br>Our hiding man is hiding under the dirt, in a grave I suppose<br><br>墓 mù is composed of 莫 mò and 土 “dirt, earth,” pointing to the original meaning “a grave (the kind where the ground is flat, not in a mound).” 莫 gives the sound.",,
苗,seedling,"miáo<br><br>We add this for the cat character, so the sound is there<br><br>苗 is composed of 艹 “vegetation” and 田 “field,” indicating the original meaning “newly sprouted plants.”",,
瞄,aim,miáo<br><br>I'm aiming for the cat,,
兆,Omen/sign,"zhào<br><br>兆 originally depicted two people fleeing water, indicating the original meaning “to escape, flee.” <br> Actually though, the full truth is a bit more complex. ",,
桃,peach,táo<br><br>Peaches growing on this tree are an Omen for something I'm sure,,
犬,pooch,"quǎn<br><br>Think of a tron dog<br><br>犬 depicts the side view of a dog, indicating the original meaning “dog.",,
尤,remarkable,"yóu<br><br>I have (you) a remarkable wart on my right (also you) arm<br><br><br>尤 originally depicted an arm (又) with a mark (丿) near it to indicate the original meaning “wart.” In the modern form, both components have fused together into 尤. ",,
默,silent,"mò<br><br>I came in all tattooed in black, my dog was silent<br><br>默 mò is composed of 黑 hēi and 犬 “dog,” hinting at the original meaning “early usage: silent; speechless.” 黑 gives the sound.",,
然,sort of thing,"rán<br><br>Used in many conjunction words like 虽然 suīrán, although, 突然 tūrán, suddenly, 当然 dāngrán, of course, 然后 ránhòu, and then, 不然 bùrán, otherwise<br><br>然 rán originally meant “to burn.” It is composed of 灬, which depicts fire; and 肰 rán, which gives the sound. ",,
哭,cry,"kū<br><br>Just looks like someone with exaggerated eyes and a tear, crying<br><br>哭 is composed of 吅 “multiple mouths” and 犬 “dog,” which indicate the original meaning “the sound of crying out in sorrow.”",,
器,utensil,"qì<br><br>Multiple mouths crying because they have no utensils and are starving for dinner. All that can do is drink tea (~qi) <br><br>器 qì was originally derived from 喪 “death; funeral arrangements,” and the original meaning of 器 was “burial container.” In the modern form of 器, 喪 has corrupted to 犬, an empty component. 㗊 “group of mouths” indicates crying and wailing at someone’s death.",,
臭,stinking,"chòu<br><br>Dogs smell the stuff which stinks the most like old cabbage (fr chou) or my toe<br><br>臭 is composed of nose (自) and dog (犬), which indicate the original meaning “to have a sensitive, keen nose.” Dogs are known for their sensitive noses.",,
狗,dog,gǒu,,
厌,detest,"yàn<br><br>I'm always stuck in this rock face, I'm sick of it (just like I detest the yanny-laurl debate) <br><br>厌 is composed of 犬 and 厂 “a cliff face; stone, rock,” indicating the original meaning “to press down on, oppress.” In Simplified Chinese, 厌 replaces 厭 by omitting the left side of 猒 yàn, which gave the sound ",,
压,pressure,"yā<br><br>Fill up the cave with dirt until it gets weighed down and there's too much pressure<br><br>压 yā is shorthand for 壓. 壓 is composed of 厭 yàn and 土 “earth; dirt,” which hints at the original meaning “to fill s.t. up with dirt and pack it down.” 厭 gives the sound. In the simplified form, 厂 is shorthand for 厭, and the 丶 comes from a variant",,
牛,cow,"niú<br><br>牛 depicts the front view of a bull's head, indicating the original meaning “cow, bull.” ",,
特,special,"tè<br><br>特别 tèbié<br><br>Bull fighting, I <b>tu</b>cked to within an inch of the ground. It was my special move<br><br>Or, a special <b>te</b>mple in Zelda is the one with the outside surrounded with cow skulls<br><br>特 tè contains 寺 chí (usually sì) and 牜 “cow” to indicate the original meaning “bull.” 寺 gives the sound.",,
告,declare,"gào<br><br>I know gaosu, looks like a bull with a large mouth emphasizing some speaking<br><br>告 depicts a container (口) and an ox (牛), indicating the original meaning “to pray and offer sacrifices.” During the Shang (1556 BCE to 1046 BCE) and Zhou (1045 BCE to 256 BCE) dynasties, the ox was the most important animal used in sacrifices. ",,
浩,vast,"hào<br><br>I'm telling you (gao) this is a vast body of water<br><br>浩 hào is composed of 告 gào and 氵 “water; liquid,” pointing to the original meaning “large amounts of water; flood.” 告 gives the sound.",,
先,before,"xiān<br><br>Cow skull on table was what our elders before us did<br><br>先 was originally composed of “foot” (now written 񄨝) and person (儿), indicating the original meaning “to move forward; to proceed to.” ",,
洗,wash,xǐ<br><br>Looks like someone at the sink holding a bar of soap ready to wash,,
介,introduce,"jiè<br><br>介 originally depicted a person (人) with a mark on either side (八), indicating boundaries. Together, they point to the original meaning “to be in between.”",,
界,world,"jiè<br><br>Look out the window and see the world, or the window is a boundary between you and the world<br><br>界 jiè contains 介 jiè and 田 “field” to indicate the original meaning “boundaries of a field.” 介 gives the sound.",,
茶,tea,chá,,
会 (2),meeting,"""huì<br><br>Meeting and """"able to""""""",,
合,"fit (like proper, suitable), close/shut","hé<br><br>Looks like a roof which fits perfectly on top of a square; triangle and (hé) square belong together. <br>Also by placing the roof on the bottom, you're kind of closing it<br><br>合 depicts a mouth speaking down from above (亼) towards another mouth (口), indicating the original meaning “to answer.” ",,
哈,ha!,hā<br><br>哈 hā contains the meaning component 口 “mouth” to indicate the original meaning “the sound of laughter” 合 hé gives the sound.,,
塔,pagoda (a Buddhist temple/tower) ,"tǎ<br><br>The right half. Kinda resembles a Pagoda <br><br>塔 tǎ is composed of 荅 dā (also dá, tà) and 土 “dirt; earth,” hinting at the original meaning “a type of Buddhist building.” 荅 gives the sound.",,
王,king,"wáng<br><br>王 depicts an axe blade, a symbol of power and authority. Its original meaning is “the highest ruler, authority.” ",,
玉,jade,"""yù<br><br>You are so beautiful, like a jade necklace<br>Or, it's worth noting that something elegant and beautiful as jade has the sound like English """"ew"""" <br><br>玉 depicts three pieces of jade strung together, indicating the original meaning “jade.” """,,
球,ball,qiú,,
现,present (as in here) ,"xiàn<br><br>This is the xiàn in 现在 (now) <br><br>I'll pay you (in cash or jade) if I see you here right now (xiàn zai) , to be marked present<br><br>现 xiàn contains 见 jiàn “to see,” pointing to the original meaning “to appear.” 𤣩 was added to distinguish 现 from 见.",,
玩,play,"wán<br><br>玩 wán is composed of 元 yuán and 𤣩 “three pieces of jade strung together; jade,” hinting at the original meaning “to play, tease.” 元 gives the sound.",,
狂,crazy,"kuáng<br><br>the dog is holding an ax in his mouth, he's gone crazy<br><br>狂 kuáng is composed of 王 wáng and 犭 “dog,” pointing to the original meaning “dog going mad.” 王 gives the sound.<br><br>This is an axe symbol (wáng), not jade (yu) ",,
皇,emperor,"huáng<br><br>Ignite the torches to bring down (or celebrate) emperor<br><br>皇 huáng was originally composed of 王 wáng and a depiction of an upright torch with a flame (now written 白). Its original meaning is “bright, brilliant light.” 王 gives the sound. The meaning “emperor” is via sound loan.",,
煌,resplendent (bright) ,"""huáng<br><br>Which is brighter? The flame or the emperors torch<br><br>煌 huáng is composed of 皇 huáng """"bright, brilliant light"""" and 火 """"fire, flame; light; heat; actions related to fire (like cooking, melting, exploding, etc.),"""" pointing to the original meaning """"bright, brilliant light."""" 皇 also gives the sound.""",,
呈,submit (as in show/present) ,"chéng<br><br>I'm telling you, if we submit the paper with a bit of jade as a bribe, it will <b>chang</b>e their mind<br>Or<br>He is presenting his sword swallowing skill. It changed my life forever<br><br>呈 chéng is composed of 𡈼 tǐng and 口 “mouth.” It is not clear what the original meaning was, but its early usage is “to emerge, appear.” 𡈼 gives the sound.",,
全,whole,"quán<br><br>Add the top and it's like a complete house (just missing a dog, chuan) <br><br>The structure of 全 is not clear, but its original meaning is “complete, whole.” ",,
理,logic,lǐ<br><br>Putting jade inside of random thing logically is a science experiment<br><br>理 lǐ contains 里 lǐ and 𤣩 “jade” to indicate the original meaning “to process jade.” 里 gives the sound.<br>Process jade -> carve jade -> line/reason -> logic,,
主,lord,zhǔ<br><br>God was a jew (as Jesus?)<br><br>(orig.) memorial tablet used for sacrifices for dead people -> God,,
注,pour (+careful) ,"""zhù<br><br>Pour water onto the sacrificial """"God"""" urn<br><br>注 zhù is composed of 主 zhǔ and 氵 “water,” which points to the original meaning “to pour or flow into.” 主 gives the sound.""",,
金,gold,jīn,,
铜,copper,tóng<br><br>Put copper penny on your <b>tong</b>ue to prevent getting breathalozed as positive,,
钓,go fishin',"diào<br><br>Looks kind of like a fish hook. But that actually hints at the pronunciation<br><br>钓 diào is composed of 勺 sháo and 钅 “copper; metal,” pointing to the original meaning “to fish (with a hook and bait).” 勺 gives the sound.",,
针,needle,"zhēn<br><br>Only a true seamstress has 10 metal needles<br><br>针 zhēn is composed of 十 shí “needle” and 钅 “copper; metal,” pointing to the original meaning “needle.” 十 also gives the sound.",,
钉,nail,dīng<br><br>Right side kind of looks like a nail even,,
铭,inscription,"míng<br><br>engrave your name into metal<br><br>铭 míng is composed of 名 míng “name; writing” and 钅 “copper; metal,” pointing to the original meaning “writing engraved into a vessel.” 名 also gives the sound",,
镇,at ease,"zhèn<br><br>a true mechanic keeps calm when there are problems with his metal tools<br><br>Pressing metal -> suppress -> at ease/calm<br><br>镇 zhèn is composed of 真 zhēn and 钅 “metal,” hinting at the original meaning “to put pressure on; metal implement for pressing down on s.t.” 真 gives the sound. In Simplified Chinese, 钅 replaces 金 via regularization of cursive in contexts where the next written component occurs to the right ",,
道,way,"dào<br><br>道 dào is composed of 首 shǒu and 辶 “foot walking along a road,” hinting at the original meaning “road.” 首 gives the sound.",,
导,guide,"dǎo<br><br>Ed (starts with <b>e</b>) will guide you <b>dow</b>n the wrong road<br><br>导 consists of 巳, an empty component which is shorthand for 道 (the original sound component; see the diagram below for how that works), and 寸, a meaning component that indicates action. ",,
迅,speedy,"xùn<br><br>Looks like someone speeding past a cross, ashamed of his sins (~xùn) <br><br>迅 xùn is composed of 卂 xùn and 辶 “a foot walking across an intersection; movement,” pointing to the original meaning “fast, at high speed.” 卂 also gives the sound.",,
造,create,"zào<br><br>Walking around a sacrificed cow is surely a way to create/manufacture meaning (though in reality it's bull shit) z-ow. Sorry, did that hurt? <br><br>造 zào is composed of 告 gào and 辶 “a foot walking down the road; motion,” which hints at the original meaning “to arrive; to go to a place.” * The real story is more complicated. See the Expert entry for details.",,
巡,patrol,"xún<br><br>巡 xún is composed of 巛 chuān (also kūn) and 辶 “to walk; movement,” pointing to the original meaning “to go on an inspection.” 巛 gives the sound.",,
逛,stroll,guàng<br><br>the dog's getting crazy so I'm just going to take him for a stroll,,
车,car,chē,,
连,one after another,"lián<br><br>Think of the people continuously pulling their carts with two (liang) people in it, one after the other all day<br><br>连 is composed of 辶 “to walk along a road” and 车 “carriage.” It originally referred to a type of carriage that was pulled by people. ",,
莲,lotus,lián<br><br>Imagine our human drawn carriage trampling lotus flowers ,,
前,in front,qián,,
剪,Scissors/shears,"jiǎn<br><br>use scissors to cut off the front (of something) <br><br>剪 jiǎn is composed of 前 qián and 刀 “knife,” indicating the original meaning “to cut off.” ",,
输,transport,"shū<br><br>The vehicle is in front of the house waiting for you to finish tying your <b>shoe</b><br><br>输 shū is composed of 俞 shù (also yú) and 车 “vehicle,” hinting at the original meaning “to transport.” 俞 gives the sound.",,
逾,exceed,"yú<br><br>Reminds me of the 输 (shū), but the driver <b>exceeds</b> expectation by coming to the door instead of just honking at <b>you</b><br><br>Sound comes from 俞",,
各,each,"gè<br><br>I'm waiting for <b>each and every</b> one of my older brothers (gege) to arrive<br><br>各 is a foot (夂), here oriented with the toes facing down (as opposed to 止, which has the toes facing upward), walking into the opening of a dwelling (口), indicating the original meaning “to arrive (original form of 𢓜).”",,
格,pattern,"gé<br><br>格 gé is composed of 各 gè and 木 “tree,” which hints at the original meaning “long tree branch.” 各 gives the sound.<br><br>Tree branch -> branch network/pattern",,
客,guest,"kè<br><br>A guest arriving at a house<br><br>客 kè contains 宀 (a depiction of a building) and 各 gè. 宀 indicates the original meaning “a guest,” and 各 gives the sound.",,
额,forehead,"é<br><br>My guest has a large forehead<br><br>额 é is composed of 客 kè and 页 “head,” pointing to the original meaning “forehead.” 客 gives the sound. 页 replaces 頁 in Simplified Chinese via regularization of cursive",,
夏,summer,"xià<br><br>Note: does not have sun character unlike its confusing counterpart - fù 复) <br><br>夏 originally depicted a person – their head (𦣻) over their foot (夂) – under the sun, indicating the original meaning “summer.” The sun is left out in the modern form.",,
洛,L.A.,"luò<br><br>Each water droplet collects together to form a river (or the sewers of L. A.)<br><br>洛 luò is composed of 各 gè and 氵 “water,” hinting at the original meaning “name of a river.” 各 gives the sound.<br><br>",,
落,fall,"luò<br><br>Leaves falling into the river because of the season<br><br>落 luò is composed of 洛 luò and 艹 “vegetation,” which points to the original meaning “the falling of leaves from a tree.” 洛 gives the sound",,
冗,superfluous,"rǒng<br><br>Living at home is the easy(容易 róngyì) life. But also redundant and superfluous<br><br>冗 originally depicted a person (now written 几) at home (now written 冖), indicating the original meaning “free; at leisure.” ",,
沉,profound,"chén<br><br>Looks like an anchor missing a chain (chén) submerged deeply in water<br><br>All kinds of ceremonies have superfluous uses of water in order to pretend to be profound<br><br>沉 chén is composed of 冗 yín and 氵 “water,” hinting at the original meaning, a type of sacrificial offer to a water god. 冗 yín (here a variant of 冘 yín, not 冗 rǒng “superfluous”) gives the sound.",,
军,army,"jūn<br><br>军 jūn contains 车 “chariot” to indicate that the original meaning “military” has to do with chariots. 冖 is a corruption of 񄑞 yún, which gave the sound.",,
辉,radiance,"huī<br><br>Shining a bright light at an army brings radiance but also shows them the way (hui) <br><br>辉 huī is composed of 军 jūn and 光 “a person carrying a torch; bright, light,” pointing to the original meaning “splendor, glory.” 军 gives the sound.",,
运,carry/transport ,"yùn<br><br>Clouds carry water droplets<br><br>运 yùn is composed of 云 yún and 辶 “movement,” which points to the original meaning “to move, be in motion.” 云 gives the sound.",,
冠,crown,"guān<br><br>It's a very wide (guang) crown<br><br>冠 was originally composed of a hat (now written 冖) and a person’s head (元), indicating the original meaning “the general term for a kind of cap worn on ceremonious occasions.” 寸 “hand” was added later to emphasize the meaning “to put on a hat.”",,
梦,dream,"mèng<br><br>I dream of a <b>mung</b> bean forest<br><br>梦 mèng was originally composed of 𦰋 miè (now written 林) and 夕 “evening,” which hints at the original meaning “dream; to dream.” 梦 replaces 夢 in Simplified Chinese.",,
坑,pit,"kēng<br><br>Do my <b>kong</b> on the right scooped up dirt, leaving behind a pit<br><br>坑 kēng is composed of 亢 kàng (also gāng) and 土 “dirt, earth; land,” pointing to the original meaning “deep trench.” 亢 gives the sound.",,
高,tall,gāo,,
享,enjoy,"xiǎng<br><br>Boy child with a hat e joying his time on a pogo stick<br><br>享 has two origins: 1. xiǎng: originally written 亯, it depicts the place in an ancestral shrine where sacrifices were made, indicating the original meaning “xiǎng: a building used for making ceremonial sacrifices.” And 2. dūn: originally written 亯 over 羊 yáng “sheep” (now written 敦). Though its original meaning is not clear, its early usage is “to attack (a city, country); to force, compel.” ",,
熟,ripe,"shú<br><br>He's boiling a... Shoe? <br><br>熟 shú is composed of 孰 shú and 火 “fire,” hinting at the original meaning “to boil something until it’s ready to eat.” 孰 gives the sound.",,
亭,pavilion,"tíng<br><br>亭 tíng is composed of 丁 dīng and 񂞀 “building,” pointing to the original meaning “a place where travelers can stop, eat and rest.” 丁 gives the sound.",,
亮,shiny,"liàng<br><br>亮 liàng is composed of an abbreviated 京 jīng and 几 (originally 儿 “person”), hinting at the original meaning “to believe.” 京 gives the sound.<br><br>Bright/shine => show/reveal",,
京,capital,"""jīng<br><br>This is the """"Jing"""" in """"Beijing""""<br><br>京 depicts a tall building—an imperial pavilion, which is its original meaning. """,,
凉,cool,"liáng<br><br>凉快  liángkuai <br><br>ice on the side of the Capitol building means it's a cool day out<br><br>凉 liáng is composed of 京 jīng and 冫 “ice,” pointing to the original meaning “cool; cold.” 京 gives the sound.",,
景,scenery,"jǐng<br><br>seeing the sun rise over the Capitol building. It's beautiful scenery<br><br>景 jǐng (also yǐng) is composed of 京 jīng and 日 “sun,” hinting at the original meaning “daylight.” 京 gives the sound.",,
就,"at once, just, exactly",jiù,,
周 (2),circumference,zhōu<br><br>Used with week<br>周末 zhōumò weekend,,
士,soldier,"shì<br><br>I AM (shi) a man of valor<br><br>士 depicts an axe-like tool, indicating the original meaning “lowest noble rank, i.e., foot soldiers.” ",,
吉,lucky,"jí<br><br>This is the sound component of 结 jié (tie Join)<br><br><br>吉 was originally composed of 口, a distinguishing mark and a depiction of a type of cermonial, hook weapon (now written 士), indicating the original meaning “firm, solid, not easy to destroy.”<br><br>Firm/solid/not easy to destroy => luck",,
买,buy,mǎi,,
卖,sell,mài,,
书,book,shū,,
画,drawing,"huà<br><br>画 depicts a field (田), and its borders (the vertical and horizontal lines), indicating the original meaning “to draw out the divisions between fields.” Note that the space between the top 一 and 凵 carries no significance, but is rather the product of stylization. ",,
划,scratch,huà<br><br>US a little knife to scratch an image of a flower (huà) into the side of the battle axe,,
攻,attack,"gōng<br><br>Attack with a work tool. Or I tried to hit you, but instead just hit the gōng<br><br>攻 gōng is composed of 工 gōng and 攵 “hand holding a whip or wooden staff,” which hints at the original meaning “to attack.” 工 gives the sound.<br><br>Attack => study intensly",,
败,fail,"bài<br><br>I failed to open the shell with my hands. Or I bet all my money and failed<br><br>败 bài is composed of 贝 bèi and 攵 “hand holding staff,” which indicate the original meaning “to destroy.” 贝 also gives the sound. 贝 replaces 貝 in Simplified Chinese via regularization of cursive<br><br>Destroy => destroyed => fail => damage",,
故,deliberately,"gù<br><br>故事 gùshi - story<br><br>Deliberately making predictions<br><br>故 gù is composed of 古 gǔ and 攵, which implies movement, hinting at the original meaning “to cause something to become like it is now.” 古 gives the sound.",,
救,rescue,"jiù<br><br>Use your hand to lead someone out of the water, rescuing them <br><br>救 jiù is composed of 求 qiú and 攵 “hand holding a staff or whip,” hinting at the original meaning “to prohibit something.” 求 gives the sound.",,
敬,revere,"jìng<br><br>I respect someone who can talk a lot about grasses<br><br>敬 jìng is composed of 茍 jì and 攵 “a hand holding a whip or staff; to strike, hit,” hinting at the original meaning “respectful; serious; to take s.t. seriously.” 茍 gives the sound.",,
敞,spacious,"""chǎng<br><br>宽敞 - spacious roomy (kuānchang) <br>I respect and revere the echos I'm hearing from going into this spacious, tall building<br><br>敞 chǎng is composed of 尚 shàng and 攵 """"a hand holding a whip or staff; to strike, hit; general movement, action,"""" pointing to the original meaning """"to level the ground in a high place, as to be able to see far."""" 尚 gives the sound.""",,
言,say,"yán<br><br>讠 is a component form of 言<br><br>言 was originally 舌 (tongue) with an added mark, possibly indicating movement of the tongue. Its original meaning is “spoken language.” ",,
警,police,"""jǐng<br><br>Top part is """"reverence"""", bottom is """"say"""", so respect a police officer's orders<br><br>警 jǐng is composed of 敬 jìng and 言 “spoken language,” which hints at the original meaning “to call out a warning.” 敬 gives the sound.""",,
计,plan,"jì<br><br>We talked over the plan 10 times. Let's hope we're lucky (jì) <br><br>计 is made of 讠“speech” and 十 “10,” indicating the original meaning “to settle accounts, to calculate.”",,
狱,prison,"yù<br><br>Prison 监狱 jiānyù<br><br>狱 was originally composed of symbol for criminals (now written 讠) and two dogs (犭 and 犬) guarding the criminal, indicating the original meaning “jail, prison.”",,
讨,"condemn, discuss","tǎo<br><br>I'm speaking to not my thumb, but my toe <br><br>讨 tǎo is composed of 寸 zhǒu (also cùn) and 讠 “speech,” hinting at the original meaning “to enquire into, research.” 寸 gives the sound. Here, 寸 is not cùn “inch,” but rather the original form of 肘 zhǒu “elbow.”",,
训,instruction,"xùn<br><br>Giving instructions for swimming in a river<br><br>训 xùn is composed of 川 chuān and 讠 “speech; spoken language,” hinting at the original meaning “to teach, give instruction.” 川 gives the sound.",,
话,talk,huà,,
诗,poem,"shī<br><br>Pass by a religious building and you'll hear people speaking poetically<br><br>诗 shī is composed of 寺 sì and 讠 “speech; language,” hinting at the original meaning “expressing thoughts and feelings through spoken language, i.e., song.” 寺 gives the sound.",,
语,language,"yǔ<br><br>(This is the yu of hanyu) <br><br>语 yǔ is composed of 吾 wú and 讠“speech; language,” which hints at original meaning “to discuss.” 吾 gives the sound.",,
读,read,dú,,
调,tune,"diào<br><br>I sing but every week my instrument isn't in tune and must be re-tuned<br><br>调 diào (also tiáo) is composed of 周 zhōu and 讠“speech; language,” which hints at the original meaning “to mediate, harmonize, reconcile.” 周 gives the sound.",,
谈,discuss,"tán<br><br>谈 tán is composed of 炎 yán and 讠“speech; language,” which points to the original meaning “to talk (as equals).” 炎 gives the sound.",,
这,this,zhè,,
式,style,"shì<br><br>Gives the sound to 试 (try) <br>I'm trying out this new style<br><br>式 shì contains a 弋 yì and 工 “work,” which hints at the original meaning “method, model (to follow).” 弋 gives the sound.",,
试,test,shì,,
戈,halberd,"gē<br><br>ometimes translated as “dagger-axe” or “halberd,” the weapon consists of a dagger-shaped blade mounted perpendicular to a wooden shaft. It was used between the Shang and Han dynasties in ancient China.",,
或,or,"huò<br><br>或者 huòzhě. Or<br>或许 huòxǔ even<br>抑或 yìhuò literary or<br><br>或 depicts an area with a border above and below it (񁛋) and a weapon (戈), presumably to protect the area. The original meaning is “area, region.” ",,
贼,burglar,"zéi<br><br>Burglar trying to steal a shelfish's pearl. The shellfish is using a religious cross to protect himself from entry.<br><br>贼 zéi is composed of 񄀒 zé (normally written 则) and 戈 “a lance-like weapon; dagger-axe; war, violent conflict,” pointing to the original meaning “to harm, injure.” 񄀒 gives the sound.",,
载,Carry/transport,"zài<br><br>Your weapon is dirty, it must remain on the outside of the vehicle. Otherwise, say zaijian to it<br><br>载 zài (also zǎi) is composed of 𢦏 zái and 车 “vehicle,” hinting at the original meaning “to ride (a vehicle).” 𢦏 gives the sound.",,
铁,iron,"tiě<br><br>A scholar has an iron-story understanding and can <b>tie</b> all sorts of concepts together<br><br>铁 tiě is composed of 失 shī and 钅 “metal,” hinting at the original meaning “black metal.” 失 gives the sound.",,
茂,lush,"mào<br><br>It's hard to cut through this lush vegetation with my axe<br><br>茂 mào is composed of 戊 wù and 艹 “vegetation; plants,” pointing to the original meaning “thriving, flourishing vegetation.” 戊 gives the sound.",,
成,turn into,"chéng<br><br>成 chéng is composed of 戌 “battle axe” and 丁 dīng. It originally meant “city walls,” which is now written 城. 丁 gives the sound. Note that 丁 and the horizontal stroke inside of 戌 are written as a single stroke.<br><br>City walls => establish => become",,
城,city,"chéng<br><br>城市 chéngshì <br><br>A city is walls surrounding a plot of dirt<br><br>城 is composed of “inner city walls” 成 and “earth” 土, indicating the original meaning “city walls.” ",,
诚,sincere,"chéng<br><br>Building a wall around my words because they are sincere<br><br>诚 chéng is composed of 成 chéng and 讠 “speech, words; sound,” pointing to the original meaning “sincere, not prone to trickery.” 成 gives the sound",,
威,might/strength,"wēi<br><br>威 depicts a kneeling woman (女) and a battle axe (戌), indicating the original meaning “fear, terror.” ",,
灭,destroy,"miè<br><br>灭 is composed of 一 covering 火 “fire,” indicating the original meaning “to extinguish a flame.”",,
咸,Salty or all,"xián<br><br>If you slaughtered all people with a battle axe, they'd be pretty Salty. <br><br>Xian rhymes with tian, sweet. The opposite of Salty<br><br>咸 is composed of 口 and 戌 “a type of battle ax,” which indicate the original meaning “to slaughter people with a battle axe.”",,
减,reduce,"jiǎn<br><br>Salt will reduce the water content <br><br>减 jiǎn was originally composed of 咸 xián and “water” (now written 冫), hinting at the original meaning “to lose water.” 咸 gives the sound.",,
单,Single unit or list,dān<br><br>单 depicts a weapon-like instrument and conveys the original meaning “a type of instrument used in hunting or fighting.” ,,
战,war,"zhàn<br><br>I predict war, bring the battle axe<br><br>战 zhàn is composed of 占 zhàn (also zhān) and 戈 “lance-like weapon,” pointing to the original meaning “to fight (a war, battle, etc.).” 占 gives the sound.",,
钱,coin,"qián<br><br>钱 qián is composed of 戋 jiān and 钅 “metal,” which points to the original meaning “spade-like ancient farm tool.” 戋 gives the sound. 戋 replaces 戔 in Simplified Chinese",,
浅,shallow,qiǎn<br><br>The battle axe does not pierce the water deeply because it is shallow ,,
